กก	gok
นอน	nɔ:n
นอนหลับ	nɔ:n.lap
นะ	na
นักล้อง	nak.lɔ:ŋ
นักเลียน	nak.li:an
นัด	nat
นับ	nap
นับถือ	nap.thʉ:
นัว	nu:a
นั่ง	naŋ
นั้น	nan
นั้นหนะ	nan.na
นั้นหละ	nan.la
นั้นเอง	nan.e:ŋ
นา	na:
นางพะยาบาน	na:ŋ.pha.ya:.ba:n
นางเอก	na:ŋ.e:k
นาที	na:.thi:
นาย	na:i
นาลิกา	na:.li.ga:
นาลิกาปุก	na:.li.ga:.puk
นำ	nam
นำกัน	nam.gan
นิยม	ni.yom
นิ้ว	niu
นิ้วกาง	niu.ga:ŋ
นิ้วก้อย	niu.gɔ:i
นิ้วซี้	niu.si:
นิ้วตีน	niu.ti:n
นิ้วนาง	niu.na:ŋ
นิ้วโป้	niu.po:
นี้	ni:
นี้หละ	ni:.la
นุ่งห่ม	nuŋ.hom
นุ้ม	num
นูน	nu:n
น่วย	nu:ai
น่วยตา	nu:ai.ta:
น่อ	nɔ:
น้อ	nɔ:
น้อง	nɔ:ŋ
น้องซาย	nɔ:ŋ.sa:i
น้องสาว	nɔ:ŋ.sa:o
น้อย	nɔ:i
น้า	na:
น้ำ	na:m
น้ำตา	na:m.ta:
น้ำตาน	na:m.ta:n
น้ำปั่น	na:m.pan
น้ำปา	na:m.pa:
น้ำมัน	na:m.man
น้ำหนัก	na:m.nak
น้ำอัดลม	na:m.at.lom
น้ำเชื้อม	na:m.chʉ:am
น้ำเป่า	na:m.pao
น้ำแข็ง	na:m.khɛŋ
น้ำแดง	na:m.dɛ:ŋ
น้ำโค่ก	na:m.kho:k
บก	bok
บดบาด	bot.ba:t
บวด	bu:at
บอก	bɔ:k
บอด	bɔ:t
บอลิกาน	bɔ:.li.ga:n
บอลิสุด	bɔ:.li.sut
บัก	bak
บักคัก	bak.khak
บักคักหนึ่ง	bak.khak.nʉŋ
บักจก	bak.jok
บักนาว	bak.na:o
บักพาย	bak.pha:i
บักพิก	bak.phik
บักพ้าว	bak.pha:o
บักม่วง	bak.mu:aŋ
